# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: E:\PROFESSOR\SENAI\Senai-Pós\Sistemas Embarcados\Eletrônica Embarcada com FPGA (EEFPGA)\Documentação\Kit Mercurio IV\Labs\Pin_Planner.csv
# Generated on: Wed Jan 20 22:04:20 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
KEY[0],Unknown,PIN_V22,5,B5_N2,,,,,,
KEY[11],Unknown,PIN_Y17,4,B4_N0,,,,,,
KEY[10],Unknown,PIN_U17,4,B4_N0,,,,,,
KEY[9],Unknown,PIN_W15,4,B4_N1,,,,,,
KEY[8],Unknown,PIN_W19,5,B5_N3,,,,,,
KEY[7],Unknown,PIN_W17,4,B4_N0,,,,,,
KEY[6],Unknown,PIN_V15,4,B4_N2,,,,,,
KEY[5],Unknown,PIN_U21,5,B5_N1,,,,,,
KEY[4],Unknown,PIN_W20,5,B5_N3,,,,,,
KEY[3],Unknown,PIN_U16,4,B4_N0,,,,,,
KEY[2],Unknown,PIN_U22,5,B5_N2,,,,,,
KEY[1],Unknown,PIN_U20,5,B5_N2,,,,,,
SW[3],Unknown,PIN_Y22,5,B5_N3,,,,,,
SW[2],Unknown,PIN_W21,5,B5_N2,,,,,,
SW[1],Unknown,PIN_W22,5,B5_N2,,,,,,
SW[0],Unknown,PIN_V21,5,B5_N2,,,,,,
LED_R,Unknown,PIN_D6,8,B8_N3,,,,,,
LED_G,Unknown,PIN_D7,8,B8_N2,,,,,,
LED_B,Unknown,PIN_E7,8,B8_N3,,,,,,
LEDM_R[7],Unknown,PIN_H11,8,B8_N1,,,,,,
LEDM_R[6],Unknown,PIN_G8,8,B8_N3,,,,,,
LEDM_R[5],Unknown,PIN_F8,8,B8_N3,,,,,,
LEDM_R[4],Unknown,PIN_F9,8,B8_N3,,,,,,
LEDM_R[3],Unknown,PIN_G9,8,B8_N3,,,,,,
LEDM_R[2],Unknown,PIN_E9,8,B8_N1,,,,,,
LEDM_R[1],Unknown,PIN_C8,8,B8_N1,,,,,,
LEDM_R[0],Unknown,PIN_F10,8,B8_N2,,,,,,
LEDM_C[4],Unknown,PIN_L8,1,B1_N2,,,,,,
LEDM_C[3],Unknown,PIN_J8,1,B1_N1,,,,,,
LEDM_C[2],Unknown,PIN_K8,1,B1_N2,,,,,,
LEDM_C[1],Unknown,PIN_J6,1,B1_N1,,,,,,
LEDM_C[0],Unknown,PIN_J7,1,B1_N2,,,,,,
PROTO_A[7],Unknown,PIN_AA3,3,B3_N2,,,,,,
PROTO_A[6],Unknown,PIN_AA4,3,B3_N2,,,,,,
PROTO_A[5],Unknown,PIN_AA5,3,B3_N2,,,,,,
PROTO_A[4],Unknown,PIN_AA7,3,B3_N1,,,,,,
PROTO_A[3],Unknown,PIN_AA1,2,B2_N2,,,,,,
PROTO_A[2],Unknown,PIN_AB3,3,B3_N2,,,,,,
PROTO_A[1],Unknown,PIN_AB4,3,B3_N2,,,,,,
PROTO_A[0],Unknown,PIN_AB5,3,B3_N2,,,,,,
PROTO_B[7],Unknown,PIN_AA8,3,B3_N1,,,,,,
PROTO_B[6],Unknown,PIN_AA9,3,B3_N1,,,,,,
PROTO_B[5],Unknown,PIN_AA10,3,B3_N0,,,,,,
PROTO_B[4],Unknown,PIN_Y10,3,B3_N0,,,,,,
PROTO_B[3],Unknown,PIN_AB7,3,B3_N1,,,,,,
PROTO_B[2],Unknown,PIN_AB8,3,B3_N1,,,,,,
PROTO_B[1],Unknown,PIN_AB9,3,B3_N1,,,,,,
PROTO_B[0],Unknown,PIN_AB10,3,B3_N0,,,,,,
UART_TXD,Unknown,PIN_C4,8,B8_N3,,,,,,
UART_RXD,Unknown,PIN_C3,8,B8_N3,,,,,,
UART_CTS,Unknown,PIN_C7,8,B8_N1,,,,,,
UART_RTS,Unknown,PIN_C6,8,B8_N2,,,,,,
VGA_VS,Unknown,PIN_A17,7,B7_N1,,,,,,
VGA_R[3],Unknown,PIN_B10,8,B8_N0,,,,,,
VGA_R[2],Unknown,PIN_A10,8,B8_N0,,,,,,
VGA_R[1],Unknown,PIN_C10,8,B8_N0,,,,,,
VGA_R[0],Unknown,PIN_A9,8,B8_N0,,,,,,
VGA_HS,Unknown,PIN_B16,7,B7_N2,,,,,,
VGA_G[3],Unknown,PIN_A14,7,B7_N3,,,,,,
VGA_G[2],Unknown,PIN_B13,7,B7_N3,,,,,,
VGA_G[1],Unknown,PIN_A13,7,B7_N3,,,,,,
VGA_G[0],Unknown,PIN_C13,7,B7_N3,,,,,,
VGA_B[3],Unknown,PIN_A16,7,B7_N2,,,,,,
VGA_B[2],Unknown,PIN_B15,7,B7_N3,,,,,,
VGA_B[1],Unknown,PIN_A15,7,B7_N2,,,,,,
VGA_B[0],Unknown,PIN_B14,7,B7_N3,,,,,,
USB_WR,Unknown,PIN_B9,8,B8_N0,,,,,,
USB_RD,Unknown,PIN_A8,8,B8_N0,,,,,,
USB_D[7],Unknown,PIN_B6,8,B8_N1,,,,,,
USB_D[6],Unknown,PIN_B7,8,B8_N1,,,,,,
USB_D[5],Unknown,PIN_A6,8,B8_N1,,,,,,
USB_D[4],Unknown,PIN_A4,8,B8_N2,,,,,,
USB_D[3],Unknown,PIN_A7,8,B8_N1,,,,,,
USB_D[2],Unknown,PIN_B5,8,B8_N2,,,,,,
USB_D[1],Unknown,PIN_A5,8,B8_N2,,,,,,
USB_D[0],Unknown,PIN_B4,8,B8_N3,,,,,,
SD_D[3],Unknown,PIN_Y8,3,B3_N1,,,,,,
SD_D[2],Unknown,PIN_W8,3,B3_N2,,,,,,
SD_D[1],Unknown,PIN_Y6,3,B3_N3,,,,,,
SD_D[0],Unknown,PIN_W6,3,B3_N2,,,,,,
SD_CMD,Unknown,PIN_W7,3,B3_N2,,,,,,
SD_CLK,Unknown,PIN_Y7,3,B3_N2,,,,,,
LCD_RW,Unknown,PIN_U8,3,B3_N3,,,,,,
LCD_RS,Unknown,PIN_U9,3,B3_N2,,,,,,
LCD_EN,Unknown,PIN_V9,3,B3_N1,,,,,,
LCD_D[7],Unknown,PIN_Y3,3,B3_N3,,,,,,
LCD_D[6],Unknown,PIN_V3,2,B2_N3,,,,,,
LCD_D[5],Unknown,PIN_Y4,3,B3_N3,,,,,,
LCD_D[4],Unknown,PIN_V4,2,B2_N3,,,,,,
LCD_D[3],Unknown,PIN_V5,3,B3_N3,,,,,,
LCD_D[2],Unknown,PIN_V6,3,B3_N3,,,,,,
LCD_D[1],Unknown,PIN_V7,3,B3_N2,,,,,,
LCD_D[0],Unknown,PIN_V8,3,B3_N2,,,,,,
I2C_SDA,Unknown,PIN_Y21,5,B5_N2,,,,,,
I2C_SCL,Unknown,PIN_AA21,5,B5_N3,,,,,,
ETH_TXEN,Unknown,PIN_C22,6,B6_N1,,,,,,
ETH_TXD[3],Unknown,PIN_E22,6,B6_N1,,,,,,
